aaek,1=阿
lqzt,1=遛
lrdm,1=滦
lrpd,1=卵
lrqv,1=乱
lrwe,1=峦
lrwj,1=銮
lrwm,1=栾
lrwn,1=娈
lrwr,1=脔
lrwu,1=挛
lrwz,1=孪
lsbu,1=癃
lscl,1=茏
lsdl,1=泷
lsdu,1=漋
lsel,1=陇
lseu,1=隆
lsfl,1=拢
lskc,1=哢
lskl,1=咙
lslt,1=垄
lslu,1=砻
lsml,1=栊
lsol,1=眬
lsud,1=尨
lsvl,1=笼
lswc,1=弄
lswl,1=珑
ltfu,1=䂮
ltfx,1=掠
ltjc,1=锊
ltkm,1=圙
lttk,1=略
luao,1=鲁
luau,1=鲈
luck,1=蕗
lucp,1=蓼
lucu,1=菉
ludb,1=漉
ludk,1=潞
ludo,1=澛
ludu,1=渌
luej,1=陆
lufl,1=掳
lufo,1=撸
lugb,1=鹿
lugh,1=庐
luhh,1=炉
luhl,1=虏
luht,1=稑
luib,1=辘
luik,1=辂
lujo,1=镥
luko,1=噜
luln,1=鸬
lulr,1=颅
lulx,1=卤
lumb,1=麓
lumo,1=氇
lumu,1=栌
luou,1=胪
lupu,1=禄
lupy,1=甪
lurp,1=僇
luwk,1=璐
luwu,1=琭
luxg,1=戮
luzk,1=路
luzn,1=鹭
luzu,1=逯
lvcy,1=葎
lvdx,1=滤
lvfc,1=捋
lvfn,1=旅
lvfo,1=膂
lvhk,1=稆
lviy,1=律
lvkk,1=吕
lvmh,1=驴
lvmk,1=榈
lvpn,1=褛
lvqu,1=氯
lvrk,1=侣
lvrn,1=偻
lvsn,1=缕
lvsu,1=绿
lvty,1=垏
lvun,1=屡
lvuw,1=履
lvwu,1=率
lwan,1=耒
lwbt,1=癗
lwct,1=藟
lwdo,1=泪
lwdx,1=漯
lwfn,1=耒
lwft,1=擂
lwjt,1=镭
lwmd,1=类
lwmt,1=檑
lwnx,1=嫘
lwol,1=肋
lwrt,1=儡
lwst,1=垒
lwsx,1=缧
lwtf,1=罍
lwtx,1=累
lwut,1=礌
lwuu,1=磊
lwwf,1=羸
lwyc,1=酹
lwyl,1=诔
lwyt,1=雷
lxrl,1=俩
lydb,1=沦
lyfb,1=抡
lyib,1=轮
lykb,1=囵
lyrb,1=仑
lysb,1=纶
lyyb,1=论
lzad,1=剅
lzbn,1=瘘
lzcn,1=蒌
lzen,1=嵝
lzev,1=陋
lzfn,1=搂
lzgn,1=髅
lzin,1=蝼
lzjn,1=镂
lzkn,1=喽
lzln,1=耧
lzmn,1=楼
lzon,1=䁖
lzvn,1=篓
lzyk,1=露
mafm,1=抹
magm,1=麻
magu,1=摩
maid,1=蟆
maim,1=蚂
makm,1=骂
makw,1=唛
mamm,1=杩
manm,1=妈
maps,1=么
mapm,1=祃
maqm,1=犸
maum,1=码
mawm,1=玛
mazz,1=孖
mbcm,1=苠
mbdm,1=泯
mbdo,1=湣
mbem,1=岷
mbfm,1=抿
mbkd,1=黾
mbla,1=皿
mbmi,1=闽
mbmw,1=闵
mbmx,1=愍
mbow,1=旻
mbpa,1=鳘
mbpw,1=敏
mbso,1=缗
mbuo,1=碈
mbvv,1=民
mbwm,1=珉
mbwx,1=忞
mbxw,1=悯
mcam,1=髦
mcce,1=茆
mccm,1=芼
mccp,1=茅
mccw,1=茂
mcde,1=泖
mcee,1=峁
mcfm,1=旄
mcje,1=铆
mcjo,1=帽
mcjt,1=锚
mcko,1=冒
mclm,1=耄
mcmm,1=楙
mcmx,1=懋
mcnm,1=牦
mcoe,1=昴
mcom,1=眊
mcoo,1=冒
mcpe,1=卯
mcpr,1=贸
mcpv,1=毛
mcqt,1=猫
mcso,1=瞀
mcsp,1=矛
mcwo,1=瑁
mcwy,1=袤
mdfw,1=麦
mdkw,1=唛
mdoy,1=脉
mdtl,1=埋
mdud,1=卖
mdvd,1=买
mdwl,1=劢
mdyl,1=霾
mdzw,1=迈
meps,1=么
mfdv,1=门
mfdw,1=汶
mfdx,1=懑
mffm,1=扪
mfhx,1=焖
mfjm,1=钔
mfmx,1=闷
mfrm,1=们
mfwq,1=亹
mfxo,1=惛
mgcn,1=蒙
mgco,1=瞢
mgcu,1=蒙
mgcw,1=甍
mgen,1=㠓
mgeu,1=㠓
mgic,1=蟒
mgim,1=蜢
mgin,1=蠓
mgiu,1=蠓
mgiw,1=虻
mgjn,1=幪
mgju,1=幪
mgkd,1=黾
mgmn,1=檬
mgmu,1=檬
mgmx,1=梦
mgom,1=盟
mgon,1=朦
mgou,1=朦
mgqm,1=猛
mgqn,1=獴
mgqu,1=獴
mgud,1=尨
mgun,1=礞
mguu,1=礞
mgvm,1=艋
mgvn,1=艨
mgwm,1=氓
mgxo,1=懵
mgzl,1=勐
mgzm,1=孟
mhcc,1=莽
mhcw,1=芒
mhdc,1=漭
mhic,1=蟒
mhid,1=厖
mhmw,1=杧
mhnd,1=牻
mhnw,1=牤
mhud,1=尨
mhuw,1=硭
mhwe,1=邙
mhwm,1=氓
mhwo,1=盲
mibb,1=宓
mibe,1=密
mibj,1=幂
micf,1=蘼
midb,1=泌
midm,1=洣
mido,1=汨
mige,1=弭
migf,1=靡
migm,1=糜
migx,1=縻
mihb,1=秘
mike,1=嘧
mikm,1=咪
mill,1=芈
mimw,1=敉
miom,1=脒
mipb,1=祕
mipe,1=觅
mipx,1=祢
miqx,1=猕
miym,1=谧
miyz,1=醚
mizm,1=迷
mjay,1=鬘
mjcr,1=颟
mjcy,1=蔓
mjdl,1=满
mjdy,1=漫
mjgv,1=鞔
mjil,1=螨
mjjy,1=镘
mjny,1=嫚
mjol,1=瞒
mjoy,1=曼
mjtl,1=埋
mjty,1=墁
mjuy,1=馒
mjwi,1=蛮
mjxy,1=慢
mjyy,1=谩
mkbb,1=冥
mkcb,1=蓂
mkck,1=茗
mkdb,1=溟
mkdk,1=洺
mkib,1=螟
mkkn,1=鸣
mkob,1=瞑
mkoo,1=明
mkre,1=命
mmaa,1=面
mmdd,1=渑
mmdl,1=勉
mmkd,1=黾
mmkv,1=冕
mmmj,1=棉
mmml,1=勔
mmnv,1=娩
mmom,1=腼
mmov,1=冕
mmrm,1=偭
mmsj,1=绵
mmsm,1=缅
mnce,1=藐
mncn,1=鹋
mnct,1=苗
mndu,1=渺
mnft,1=描
mnkt,1=喵
mnmu,1=杪
mnnu,1=妙
mnot,1=瞄
mnou,1=眇
mnsp,1=缪
mnsu,1=缈
mnze,1=邈
moan,1=末
moap,1=万
moay,1=无
mocd,1=莫
mocm,1=蓦
mocu,1=摹
modm,1=沫
mody,1=殁
moeb,1=陌
mofd,1=摸
mofm,1=抹
mogg,1=魔
mogm,1=麽
mohm,1=秣
mohq,1=默
moht,1=墨
mojd,1=镆
moko,1=冒
momd,1=模
mond,1=嫫
mood,1=膜
mooo,1=冒
mooy,1=脉
moud,1=馍
movb,1=貊
movd,1=貘
movk,1=貉
moyd,1=谟
mpah,1=灭
mpcu,1=蔑
mpky,1=咩
mpvu,1=篾
mpvv,1=乜
mqsp,1=缪
mqyp,1=谬
muan,1=木
mucj,1=幕
mucl,1=募
muco,1=暮
muct,1=墓
mucx,1=慕
mudm,1=沐
mufm,1=拇
muhp,1=穆
mujo,1=钼
muka,1=目
mumd,1=模
mumn,1=毪
munb,1=姥
munt,1=牡
munw,1=牧
muot,1=睦
murm,1=仫
musn,1=牟
muun,1=木
muvd,1=母
muwt,1=亩
mwbw,1=寐
mwcm,1=莓
mwdo,1=湄
mwdv,1=浼
mwdy,1=没
mweo,1=嵋
mwgm,1=糜
mwhm,1=煤
mwjd,1=镁
mwjo,1=镅
mwmm,1=梅
mwmo,1=楣
mwnd,1=媄
mwno,1=媚
mwnw,1=妹
mwow,1=昧
mwpg,1=袂
mwvn,1=鹛
mwvo,1=眉
mwwo,1=瑂
mwyd,1=美
mwym,1=酶
mzgm,1=某
mzin,1=蛑
mzkm,1=呣
mzkn,1=哞
mzon,1=眸
mzrn,1=侔
mzsj,1=鍪
mzsn,1=牟
mzsp,1=缪
mzym,1=谋
nafx,1=捺
naju,1=镎
nakn,1=呐
nane,1=娜
naon,1=肭
napn,1=衲
nasn,1=纳
naug,1=南
naym,1=乸
nbrx,1=您
ncbz,1=孬
ncdu,1=淖
ncfw,1=挠
nciw,1=蛲
ncjw,1=铙
ncky,1=呶
ncmj,1=闹
ncmw,1=桡
ncoe,1=臑
ncok,1=脑
ncqe,1=峱
ncqm,1=猱
nctk,1=垴
ncux,1=硇
ncwx,1=瑙
ncxk,1=恼
ndcn,1=艿
ndcx,1=萘
nddx,1=奈
ndec,1=耐
ndep,1=耏
ndmx,1=柰
ndnn,1=奶
ndnv,1=鼐
ndqn,1=氖
ndvp,1=乃
ndzx,1=迺
nekb,1=呢
neke,1=哪
nekn,1=呐
neyn,1=讷
nfnd,1=媆
nfnw,1=嫩
nfrx,1=恁
ngsb,1=能
nhay,1=囊
nhdy,1=瀼
nhfy,1=攮
nhky,1=囔
nhoy,1=曩
nhuy,1=馕
nhzy,1=齉
niae,1=鲵
nibr,1=疑
nicr,1=薿
nidb,1=泥
nidd,1=溺
nifb,1=旎
nifr,1=拟
nige,1=麑
nijb,1=铌
nikb,1=呢
nikk,1=匿
ninb,1=妮
niob,1=昵
nioe,1=睨
nior,1=腻
niqe,1=猊
nirb,1=伲
nire,1=倪
nirx,1=你
nitb,1=坭
niub,1=尼
nixb,1=怩
niye,1=霓
nizp,1=逆
njcg,1=萳
njkg,1=喃
njkn,1=囡
njmg,1=楠
njng,1=婻
njog,1=腩
njtl,1=男
njty,1=赧
njyf,1=难
nkbd,1=宁
nkby,1=甯
nkcd,1=苧
nkdd,1=泞
nkdr,1=凝
nked,1=聍
nkfd,1=拧
nkmd,1=柠
nkqd,1=狞
nkrn,1=佞
nlyl,1=酿
nmaa,1=廿
nmak,1=鲇
nmca,1=廿
nmch,1=蔫
nmfi,1=辇
nmfk,1=拈
nmfx,1=捻
nmin,1=辗
nmmk,1=粘
nmpl,1=年
nmrx,1=念
nmtx,1=埝
nmun,1=碾
nncn,1=茑
nndd,1=溺
nnou,1=脲
nnpy,1=袅
nnuu,1=尿
nnwd,1=鸟
nofd,1=搦
nofe,1=挪
nojk,1=锘
nokk,1=喏
nome,1=糯
none,1=娜
norf,1=傩
noxe,1=懦
noyk,1=诺
npcm,1=蘖
npcx,1=菍
npcz,1=孽
npdt,1=涅
npem,1=嵲
nper,1=颞
npet,1=陧
npey,1=聂
npft,1=捏
npfy,1=摄
npjm,1=镍
npjy,1=镊
npkk,1=啮
npky,1=嗫
npvv,1=乜
npzm,1=臬
npzy,1=蹑
nqfi,1=扭
nqfl,1=拗
nqji,1=钮
nqmi,1=杻
nqpl,1=牛
nqsi,1=纽
nqxi,1=忸
nroy,1=暖
nsdn,1=浓
nshn,1=秾
nskn,1=哝
nson,1=脓
nsrn,1=侬
nswc,1=弄
ntba,1=疟
ntha,1=虐
nung,1=弩
nunl,1=努
nunm,1=驽
nunr,1=胬
nunu,1=砮
nunx,1=怒
nuny,1=奴
nunz,1=孥
nurc,1=傉
nuvy,1=笯
nvex,1=恧
nvjn,1=钕
nvva,1=女
nvxi,1=衄
nwld,1=内
nwun,1=馁
nwve,1=那
nzlc,1=耨
ogkx,1=嗯
omkm,1=呣
omkw,1=呒
onkx,1=嗯
ookd,1=噢
ookt,1=喔
ookw,1=哦
ooky,1=嚄
oucy,1=藕
oudx,1=沤
oukn,1=鸥
oukr,1=欧
oukw,1=瓯
oukx,1=区
ouky,1=殴
ouly,1=耦
oury,1=偶
ouxx,1=怄
ouyx,1=讴
pacb,1=葩
padb,1=潖
pafb,1=扒
pajb,1=帕
pakb,1=啪
palb,1=耙
pamb,1=杷
pavb,1=筢
pawb,1=琶
paxb,1=怕
pazb,1=趴
pbbr,1=贫
pbev,1=聘
pbfk,1=拼
pbkk,1=品
pbnb,1=牝
pbnk,1=姘
pbvr,1=频
pbvu,1=颦
pbwb,1=玭
pcbd,1=刨
pcbs,1=疱
pcch,1=藨
pcfl,1=抛
pcgs,1=庖
pcoz,1=脬
pcqs,1=狍
pczs,1=跑
pdcn,1=蒎
pddf,1=湃
pddn,1=派
pdff,1=排
pdif,1=徘
pdkn,1=哌
pdpu,1=牌
pdzb,1=迫
pfbm,1=盆
pfdm,1=湓
pfkr,1=喷
pgcf,1=芃
pgcp,1=苹
pgcz,1=蓬
pgdo,1=淜
pgdp,1=泙
pgff,1=搒
pgfl,1=捧
pgfp,1=抨
pggo,1=弸
pgip,1=蟛
pgkp,1=嘭
pgmo,1=棚
pgmy,1=椪
pgon,1=鹏
pgoo,1=朋
pgop,1=膨
pgto,1=堋
pguo,1=硼
pgup,1=砰
pguy,1=碰
pgvz,1=篷
pgwh,1=烹
pgxp,1=怦
phaf,1=鳑
phdf,1=滂
phif,1=彷
phlf,1=耪
phob,1=胖
phof,1=膀
phqd,1=乓
phud,1=尨
phuf,1=磅
phwf,1=旁
phyf,1=雱
phzl,1=逄
piay,1=鲏
piba,1=丕
pibe,1=邳
pibk,1=痞
pibu,1=癖
piby,1=疲
picb,1=芘
pice,1=苉
pidl,1=濞
pidu,1=澼
pieu,1=陴
piey,1=陂
pifb,1=批
pify,1=披
piib,1=蚍
piiu,1=蜱
pijy,1=铍
pikb,1=吡
pike,1=匹
piku,1=噼
pinb,1=媲
piou,1=睥
pipe,1=邳
pipu,1=裨
pipy,1=被
piqp,1=狉
pirb,1=仳
pirp,1=伾
pisb,1=纰
pish,1=罴
piss,1=罢
pitb,1=毗
pitj,1=圮
pitp,1=坯
pitu,1=埤
piub,1=砒
piud,1=劈
piuk,1=譬
piun,1=䴙
piuu,1=辟
piuw,1=甓
pivb,1=貔
piwb,1=琵
pjbd,1=判
pjby,1=叛
pjdb,1=泮
pjdt,1=潘
pjdy,1=湴
pjfb,1=拌
pjit,1=蟠
pjmb,1=柈
pjmu,1=攀
pjob,1=胖
pjod,1=盼
pjpb,1=袢
pjpt,1=番
pjpu,1=襻
pjtb,1=畔
pjut,1=磻
pjvm,1=槃
pjvp,1=爿
pjvu,1=磐
pjzl,1=蹒
pkap,1=鲆
pkau,1=平
pkck,1=荓
pkcp,1=苹
pkdo,1=淜
pkdp,1=泙
pkdv,1=涄
pkip,1=蚲
pkmp,1=枰
pknv,1=娉
pkqp,1=乒
pkrj,1=凭
pktp,1=坪
pkuk,1=屏
pkwp,1=玶
pkyp,1=评
pmhx,1=翩
pmmc,1=骗
pmmg,1=楩
pmmk,1=骈
pmnc,1=犏
pmng,1=㛹
pmok,1=胼
pmpv,1=片
pmrc,1=偏
pmrg,1=便
pmvc,1=篇
pmzc,1=蹁
pncx,1=薸
pndx,1=漂
pndz,1=殍
pnix,1=螵
pnkx,1=嘌
pnmb,1=朴
pnmx,1=骠
pnnx,1=嫖
pnox,1=瞟
pnsx,1=缥
pnxd,1=剽
pnxg,1=瓢
pnxx,1=飘
pobg,1=魄
pobt,1=皤
podb,1=泊
podd,1=泼
podn,1=婆
poey,1=陂
pojd,1=䥽
pojk,1=钷
pokk,1=叵
pokz,1=哱
pomb,1=朴
pope,1=鄱
popx,1=繁
poty,1=坡
pouy,1=破
povk,1=笸
povr,1=颇
powb,1=珀
poyd,1=酦
pozb,1=迫
ppcp,1=苤
ppdo,1=瞥
ppfw,1=撇
ppqp,1=氕
pubf,1=匍
pubo,1=普
pucf,1=葡
puck,1=菩
pudc,1=溥
pudf,1=浦
pudn,1=濮
pudo,1=潽
pufb,1=扑
puhn,1=穙
pujn,1=镤
pujo,1=镨
pukf,1=圃
pukn,1=噗
pumb,1=朴
pumo,1=氆
puof,1=脯
puou,1=暴
purb,1=仆
purt,1=堡
putn,1=墣
puwn,1=璞
puyf,1=酺
puyo,1=谱
puzn,1=蹼
pwdl,1=淠
pwek,1=陪
pwfl,1=旆
pwfy,1=裴
pwjk,1=锫
pwjy,1=帔
pwka,1=呸
pwkk,1=赔
pwkp,1=呸
pwop,1=胚
pwrj,1=佩
pwsk,1=辔
pwtk,1=培
pwxb,1=衃
pwyk,1=醅
pwyl,1=霈
pzfb,1=抔
pzfk,1=掊
pzld,1=剖
pzmk,1=棓
pztz,1=垺
pzwy,1=裒
qbby,1=寝
qbcj,1=芹
qbcv,1=芩
qbdh,1=溱
qbdx,1=沁
qbfd,1=擒
qbfh,1=秦
qbfr,1=揿
qbga,1=廑
qbjy,1=锓
qbkd,1=噙
qbkh,1=嗪
qbmd,1=檎
qbmy,1=骎
qbrd,1=禽
qbry,1=衾
qbwv,1=琴
qbxa,1=慬
qbxu,1=覃
qiab,1=鲯
qiad,1=戚
qiae,1=郪
qian,1=妻
qiao,1=鳍
qiav,1=七
qicb,1=萁
qice,1=葺
qick,1=䓫
qicl,1=荠
qicn,1=萋
qicu,1=芪
qidb,1=淇
qidk,1=奇
qidl,1=泣
qidn,1=凄
qidq,1=汽
qiej,1=屺
qiek,1=崎
qiel,1=亓
qiey,1=岐
qifb,1=旗
qifd,1=契
qifv,1=揭
qigb,1=麒
qihm,1=棨
qiib,1=蜞
qijk,1=锜
qijr,1=颀
qikk,1=器
qikx,1=嘁
qila,1=亟
qimj,1=杞
qimx,1=栖
qink,1=婍
qiol,1=脐
qipb,1=祺
qipe,1=祁
qipv,1=乞
qiqb,1=其
qiqo,1=期
qiqx,1=綦
qirv,1=企
qiry,1=伎
qisk,1=绮
qitj,1=圻
qitt,1=畦
qiud,1=碶
qiuk,1=呇
qiur,1=碛
qiux,1=磜
qivy,1=歧
qiwb,1=琪
qiwc,1=弃
qiwj,1=玘
qiwk,1=琦
qiwl,1=齐
qiwx,1=戚
qixo,1=愭
qiyq,1=讫
qizk,1=踦
qizq,1=迄
qizy,1=跂
qkao,1=鲭
qkbr,1=顷
qkck,1=苘
qkcm,1=檠
qkcu,1=擎
qkdo,1=清
qkfo,1=青
qkgd,1=庆
qkio,1=蜻
qkko,1=圊
qkoo,1=晴
qkpe,1=卿
qkqg,1=氢
qkqo,1=氰
qkro,1=倩
qkrr,1=倾
qkuf,1=罄
qkuo,1=碃
qkvo,1=箐
qkxo,1=情
qkyo,1=请
qlci,1=蔃
qlck,1=蔷
qlfv,1=抢
qlgi,1=强
qlhv,1=炝
qljc,1=锵
qljo,1=锖
qlkv,1=呛
qlmk,1=樯
qlmv,1=枪
qlnk,1=嫱
qlog,1=腔
qlpg,1=戕
qlpi,1=襁
qlrg,1=戗
qltk,1=墙
qlwv,1=玱
qlyg,1=羟
qlzv,1=跄
qmbd,1=前
qmbr,1=歉
qmbu,1=搴
qmcc,1=荨
qmco,1=蒨
qmcq,1=芊
qmcr,1=芡
qmcx,1=茜
qmdn,1=牵
qmdo,1=潜
qmdr,1=欠
qmek,1=岍
qmeq,1=阡
qmer,1=嵌
qmfo,1=掮
qmfq,1=扦
qmhw,1=虔
qmim,1=椠
qmit,1=堑
qmix,1=愆
qmjg,1=钳
qmjj,1=钱
qmjv,1=钤
qmmq,1=杄
qmnj,1=孅
qmnz,1=犍
qmor,1=肷
qmpu,1=千
qmra,1=佥
qmre,1=伣
qmro,1=倩
qmrq,1=仟
qmsq,1=纤
qmsz,1=缱
qmtq,1=圲
qmun,1=磏
qmuq,1=乾
qmva,1=签
qmxt,1=悭
qmyn,1=谦
qmyz,1=谴
qmzk,1=遣
qmzq,1=迁
qnax,1=翘
qncl,1=荞
qnel,1=峤
qneo,1=峭
qnfm,1=撬
qngl,1=鞒
qngo,1=鞘
qngv,1=巧
qnhh,1=燋
qnjh,1=锹
qnmh,1=樵
qnml,1=桥
qnoh,1=瞧
qnoo,1=睄
qnrd,1=劁
qnrl,1=侨
qnro,1=俏
qnsm,1=缲
qnuf,1=雀
qnuj,1=壳
qnul,1=硚
qnuw,1=硗
qnwy,1=敲
qnxh,1=憔
qnxo,1=悄
qnyh,1=谯
qnyl,1=乔
qnyo,1=诮
qnzw,1=跷
qpbd,1=窃
qpbv,1=癿
qpck,1=茄
qpjd,1=锲
qpla,1=且
qpln,1=妾
qpqd,1=猰
qprk,1=伽
qptq,1=趄
qpvj,1=箧
qpxe,1=郄
qpxj,1=惬
qpxs,1=怯
qqad,1=求
qqah,1=鳅
qqby,1=酋
qqch,1=萩
qqcj,1=艽
qqdh,1=湫
qqdr,1=泅
qqgy,1=鞧
qqhn,1=鹙
qqiv,1=虬
qqjk,1=訄
qqkq,1=赇
qqkr,1=囚
qqmh,1=楸
qqmq,1=糗
qqpa,1=丘
qqqe,1=邱
qqqj,1=犰
qqqy,1=裘
qqrq,1=俅
qqwp,1=璆
qqwq,1=球
qqzj,1=鼽
qqzq,1=逑
qqzy,1=遒
qrau,1=鳈
qrav,1=鬈
qrbw,1=痊
qrcr,1=颧
qrcw,1=荃
qrdd,1=犬
qriv,1=蜷
qriw,1=辁
qrjd,1=券
qrjw,1=铨
qrkv,1=圈
qrmv,1=棬
qrmy,1=权
qrnv,1=婘
qrrw,1=全
qrsv,1=绻
qrtq,1=畎
qrvw,1=筌
qrxw,1=悛
qryl,1=劝
qryw,1=诠
qsbg,1=穹
qsbl,1=穷
qscl,1=䓖
qscu,1=茕
qsge,1=邛
qsgi,1=蛩
qsgj,1=銎
qsny,1=嬛
qsve,1=筇
qswx,1=琼
qtcn,1=鹊
qtfg,1=缺
qthg,1=炔
qtmf,1=榷
qtmo,1=棤
qtmr,1=阙
qtmt,1=阕
qtte,1=却
qtty,1=埆
qtuf,1=雀
qtux,1=悫
qtuy,1=确
qubl,1=劬
qubn,1=鸲
quci,1=䓛
qucj,1=苣
qucm,1=蕖
qucz,1=蘧
qudf,1=灈
quen,1=娶
quex,1=岖
quey,1=取
qufm,1=麹
quhe,1=觑
quhw,1=黢
quii,1=衢
quiq,1=蛐
quiy,1=蠼
qula,1=曲
qulk,1=竘
qumq,1=阒
qums,1=㭕
quof,1=瞿
quok,1=朐
quom,1=氍
quos,1=胠
qups,1=袪
qute,1=趋
qutq,1=坥
quty,1=趣
quum,1=磲
quux,1=躯
quvy,1=龋
qxcd,1=葜
qxdk,1=洽
qxfb,1=拤
qxfj,1=掐
qxgk,1=髂
qxkk,1=匼
qxpk,1=袷
qxub,1=卡
qxxk,1=恰
qygh,1=麇
qykh,1=囷
qypk,1=裙
qyyy,1=群
qyzw,1=逡
rccw,1=荛
rcfy,1=扰
rcmw,1=桡
rcnw,1=娆
rcsw,1=绕
rcuw,1=饶
recx,1=惹
refh,1=热
rekk,1=喏
rfcr,1=荏
rfcx,1=菍
rfhx,1=稔
rfir,1=轫
rfnr,1=妊
rfpn,1=人
rfpr,1=衽
rfpu,1=壬
rfqa,1=壬
rfre,1=仁
rfrr,1=仞
rfrx,1=忍
rfsr,1=纴
rfur,1=饪
rfwr,1=韧
rgfn,1=扔
rgrn,1=仍
rhcy,1=蘘
rhdy,1=瀼
rhfy,1=攘
rhhy,1=穰
rhky,1=嚷
rhpy,1=禳
rhry,1=儴
rhwg,1=瓤
rika,1=日
rimo,1=驲
rjar,1=髯
rjcr,1=苒
rjhh,1=燃
rjir,1=蚺
rjla,1=冉
rjph,1=然
rjrx,1=䎃
rocd,1=蒻
roce,1=鄀
roch,1=爇
rock,1=若
rogd,1=弱
ronk,1=婼
rork,1=偌
rovk,1=箬
rree,1=阮
rrir,1=软
rrnd,1=媆
rrtd,1=堧
rrwe,1=瓀
rsai,1=融
rsbj,1=冗
rsbk,1=容
rsce,1=茸
rsck,1=蓉
rscm,1=荣
rsdk,1=溶
rsem,1=嵘
rsgu,1=戎
rshk,1=熔
rsim,1=蝾
rsjk,1=镕
rsmk,1=榕
rsqu,1=狨
rssu,1=绒
rswk,1=瑢
rucc,1=蓐
ruce,1=薷
ruck,1=茹
rudc,1=溽
rude,1=濡
rudk,1=洳
rudn,1=汝
ruie,1=蠕
ruke,1=嚅
rune,1=嬬
runk,1=如
rupc,1=褥
rupe,1=襦
rupn,1=入
rupv,1=乳
rure,1=儒
rusc,1=缛
ruze,1=孺
rvcn,1=芮
rvcu,1=蕤
rvcx,1=蕊
rvdn,1=汭
rvin,1=蚋
rvje,1=锐
rvlo,1=睿
rvmn,1=枘
rvwe,1=瑞
rydw,1=润
rymw,1=闰
rzfm,1=揉
rzgm,1=鞣
rznr,1=肉
rzsm,1=柔
rzzm,1=蹂
saal,1=卅
saci,1=萨
sadu,1=挲
sadw,1=潵
sadx,1=洒
safw,1=撒
sagj,1=靸
salx,1=飒
saom,1=脎
sars,1=仨
scbi,1=瘙
scfe,1=扫
scfi,1=搔
scmi,1=骚
scmo,1=梢
scny,1=嫂
scom,1=臊
scsg,1=缫
scsm,1=缲
sctj,1=埽
sdax,1=鳃
sdbr,1=赛
sdkt,1=噻
sdox,1=腮
sdtx,1=思
sebt,1=塞
sedb,1=色
sedv,1=涩
sedx,1=㴔
sehk,1=穑
sejb,1=铯
semx,1=槭
sewb,1=璱
sfmm,1=森
sgro,1=僧
shfm,1=搡
shkm,1=嗓
shum,1=磉
shun,1=丧
shym,1=桑
shyr,1=颡
siae,1=兕
siay,1=肆
sidb,1=死
side,1=泗
sidj,1=澌
sids,1=汜
sidu,1=涘
siek,1=㟃
sifj,1=撕
sihs,1=私
siid,1=厕
siij,1=蛳
sika,1=咝
sike,1=四
sikk,1=嗣
siks,1=咝
sime,1=驷
simx,1=楒
sinr,1=姒
sipj,1=虒
sips,1=祀
siqj,1=斯
sirk,1=伺
sirl,1=食
sirr,1=似
siru,1=俟
sirx,1=偲
sisn,1=鸶
sisx,1=缌
sitc,1=寺
sitx,1=思
siuk,1=饲
siva,1=丝
sivk,1=笥
sivn,1=鸶
sivv,1=巳
sjae,1=三
sjcw,1=散
sjdw,1=潵
sjmp,1=糁
sjru,1=伞
sjsm,1=毵
sjsp,1=参
sjss,1=叁
sjuw,1=馓
socu,1=莎
socy,1=蓑
sodn,1=娑
sodu,1=挲
sodx,1=溹
sojr,1=锁
soko,1=嗍
sokr,1=唢
sokw,1=唆
sokx,1=嗦
somu,1=桫
somw,1=梭
soow,1=睃
sopj,1=所
sosb,1=缩
soux,1=索
sove,1=些
sowr,1=琐
soyw,1=羧
srcx,1=蒜
srqw,1=狻
srvc,1=算
sryw,1=酸
ssbm,1=宋
ssbr,1=颂
sscs,1=菘
ssek,1=嵩
sses,1=崧
ssfy,1=㧐
ssms,1=松
ssnu,1=娀
ssre,1=耸
ssrx,1=怂
ssxs,1=忪
ssxu,1=悚
ssyy,1=诵
sszt,1=送
suah,1=稣
subb,1=宿
subt,1=塑
subu,1=窣
sucb,1=苏
sucr,1=蔌
sudo,1=溯
sufx,1=素
sugu,1=甦
sujd,1=夙
sukx,1=嗉
sums,1=骕
surk,1=俗
surm,1=僳
surx,1=傃
susn,1=鹔
suvd,1=肃
suvr,1=簌
suxx,1=愫
suyi,1=诉
suyw,1=谡
suzb,1=蹜
suzu,1=速
svcn,1=荽
svdf,1=濉
sveo,1=隋
svex,1=岁
svez,1=隧
svfz,1=旞
svgz,1=髓
svix,1=祟
svki,1=虽
svof,1=睢
svot,1=眭
svpz,1=襚
svsn,1=绥
svsy,1=缞
svwz,1=璲
svyu,1=谇
svzu,1=邃
sycx,1=荪
syfr,1=损
symu,1=榫
syqx,1=狲
syru,1=隼
syvy,1=笋
syxl,1=飧
syzx,1=孙
szcg,1=蒐
szcw,1=薮
szdy,1=溲
szfw,1=擞
szfy,1=搜
szgy,1=廋
sziy,1=螋
szjy,1=锼
szkr,1=嗽
szku,1=嗾
szky,1=嗖
szoy,1=瞍
szpy,1=叟
szuy,1=馊
szvy,1=艘
taax,1=鳎
tabb,1=它
tadx,1=漯
tafu,1=拓
tafz,1=挞
tagk,1=鞳
takk,1=嗒
tamx,1=阘
tamz,1=闼
tany,1=她
tapx,1=褟
taqr,1=獭
tary,1=他
tatk,1=塔
tatx,1=塌
tauo,1=沓
tazj,1=趿
tazo,1=踏
tazx,1=蹋
tccf,1=萄
tcdd,1=洮
